,0
0,119538.72559875957
1,155748.0037640792
2,184148.06739735103
3,194669.06775175786
4,196826.58628098466
5,171243.08159495733
6,169556.71577884495
7,163164.58481415096
8,184146.72801805104
9,118078.05104224815
10,193727.43639028823
11,96220.14134590306
12,98219.28942295724
13,148375.78849939298
14,110869.24320281416
15,358591.8984501323
16,251081.07605500796
17,289320.21008167847
18,294247.78662626137
19,439183.38428998843
20,324565.5887593725
21,213128.4495274038
22,176936.97902147952
23,166170.67517383807
24,184655.78362687386
25,194489.38134799135
26,328674.8694991871
27,224382.09181800118
28,200403.6912551456
29,233645.51777618236
30,192838.09200297337
31,97429.55101583044
32,189535.87769596666
33,302404.1434203122
34,285818.52287135954
35,242720.60759232202
36,185217.30148114517
37,175721.71964331478
38,165113.0287535235
39,162537.2438231489
40,183133.38584448924
41,151093.44265834958
42,286279.6735380474
43,240975.2720706802
44,227628.42410390286
45,180723.29942960799
46,249847.84964543252
47,198495.18895893756
48,155904.8247757216
49,145319.0652619025
50,150911.89234795902
51,167860.2595180712
52,141561.58585872164
53,158394.4917023727
54,187414.32290994964
55,149441.6501055844
56,160512.04018168716
57,130167.95535007218
58,215276.1435334797
59,129982.20580845962
60,131732.9748045065
61,167610.30225665827
62,108880.42665047637
63,115755.65574141365
64,120690.17837969214
65,116884.01068545593
66,105047.9265205271
67,127682.44866216906
68,150561.3389928355
69,176645.52775479984
70,111124.33168053097
71,96900.3133035029
72,147713.26803082143
73,117924.39095091936
74,149202.37133958464
75,110222.16038428222
76,67425.12534726842
77,149567.48083402318
78,193029.1518230537
79,103600.05222861271
80,138969.05035560194
81,142995.7899277024
82,196813.09289485347
83,86853.48337149309
84,107176.26306323956
85,135235.20019767812
86,140818.02011640836
87,135172.8194682017
88,118508.18470030147
89,138442.17206201912
90,108230.69896219073
91,141550.33995318372
92,150645.77690435437
93,114887.36796392762
94,167631.14828268028
95,87094.9827208913
96,108433.16344437648
97,95491.3925911903
98,68318.07122141522
99,135993.15233006258
100,129723.75986439089
101,126786.5761083135
102,118416.16710459949
103,158225.11343448542
104,148991.6216155997
105,235699.12831391243
106,73883.72568790997
107,238352.75608909313
108,129607.21684093542
109,135929.1447522993
110,124079.7932811475
111,138537.877069352
112,231259.8934967385
113,119198.37309487781
114,225063.9094561714
115,249530.6625914968
116,185116.90370003902
117,137643.7542027984
118,147112.784781357
119,190243.7768601477
120,146664.06392431425
121,123419.00185971658
122,302839.0203968248
123,228332.24672738736
124,142281.567593937
125,70655.78224777678
126,102174.90552124327
127,147188.57057273926
128,97714.79947974124
129,129101.4050895052
130,91972.23733831849
131,119046.9206597842
132,121850.37294250538
133,131100.74357487235
134,112537.85112157368
135,226926.39559548072
